#,ieee,endpoint_id,cluster_type,cluster_id
1,00:00:00:00:00:00:00:01,1,0,0
2,00:00:00:00:00:00:00:01,1,0,6
3,00:00:00:00:00:00:00:01,1,0,10
4,00:00:00:00:00:00:00:01,1,0,25
5,00:00:00:00:00:00:00:01,1,0,1281
6,00:00:00:00:00:00:00:01,1,1,1
7,00:00:00:00:00:00:00:01,1,1,32
8,00:00:00:00:00:00:00:01,1,1,1280
9,00:00:00:00:00:00:00:01,1,1,1282
10,00:00:00:00:00:00:00:01,2,0,0
11,00:00:00:00:00:00:00:02,1,0,3
12,00:00:00:00:00:00:00:02,1,0,4
13,00:00:00:00:00:00:00:02,1,0,5
14,00:00:00:00:00:00:00:02,1,0,6
15,00:00:00:00:00:00:00:02,1,0,1794
16,00:00:00:00:00:00:00:02,1,0,2820
17,00:00:00:00:00:00:00:02,1,0,57344
18,00:00:00:00:00:00:00:02,1,0,57345
19,00:00:00:00:00:00:00:02,1,0,0
20,00:00:00:00:00:00:00:02,1,1,25
21,00:00:00:00:00:00:00:02,1,1,10
22,00:00:00:00:00:00:00:02,242,1,33
23,00:00:00:00:00:00:00:03,1,0,4
24,00:00:00:00:00:00:00:03,1,0,5
25,00:00:00:00:00:00:00:03,1,0,6
26,00:00:00:00:00:00:00:03,1,0,258
27,00:00:00:00:00:00:00:03,1,0,0
28,00:00:00:00:00:00:00:03,1,1,25
29,00:00:00:00:00:00:00:03,1,1,10
30,00:00:00:00:00:00:00:03,242,1,33
31,00:00:00:00:00:00:00:04,1,0,4
32,00:00:00:00:00:00:00:04,1,0,5
33,00:00:00:00:00:00:00:04,1,0,61184
34,00:00:00:00:00:00:00:04,1,0,0
35,00:00:00:00:00:00:00:04,1,1,25
36,00:00:00:00:00:00:00:04,1,1,10
37,00:00:00:00:00:00:00:04,242,1,33
38,00:00:00:00:00:00:00:05,1,0,4
39,00:00:00:00:00:00:00:05,1,0,5
40,00:00:00:00:00:00:00:05,1,0,6
41,00:00:00:00:00:00:00:05,1,0,258
42,00:00:00:00:00:00:00:05,1,0,0
43,00:00:00:00:00:00:00:05,1,1,25
44,00:00:00:00:00:00:00:05,1,1,10
45,00:00:00:00:00:00:00:05,242,1,33
46,00:00:00:00:00:00:00:06,1,0,4
47,00:00:00:00:00:00:00:06,1,0,5
48,00:00:00:00:00:00:00:06,1,0,6
49,00:00:00:00:00:00:00:06,1,0,258
50,00:00:00:00:00:00:00:06,1,0,0
51,00:00:00:00:00:00:00:06,1,1,25
52,00:00:00:00:00:00:00:06,1,1,10
53,00:00:00:00:00:00:00:06,242,1,33
