#,device_ieee,extended_pan_id,ieee,nwk,device_type,rx_on_when_idle,relationship,reserved1,permit_joining,reserved2,depth,lqi
1,00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:06,22555,1,1,2,0,2,0,15,216
2,00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:02,23255,1,1,2,0,2,0,15,247
3,00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:05,27386,1,1,2,0,2,0,15,195
4,00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:04,49400,1,1,2,0,2,0,15,130
5,00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:03,51646,1,1,2,0,2,0,15,178
6,00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:04,49400,1,1,1,0,2,0,2,110
7,00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:05,27386,1,1,2,0,2,0,1,106
8,00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:03,51646,1,1,2,0,2,0,2,81
9,00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:06,22555,1,1,2,0,2,0,1,124
10,00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:01,0,0,1,2,0,2,0,0,136
11,00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:01,0,0,1,0,0,2,0,0,88
12,00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:02,23255,1,1,0,0,2,0,1,88
13,00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:05,27386,1,1,2,0,2,0,1,197
14,00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:06,22555,1,1,2,0,2,0,1,185
15,00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:04,49400,1,1,2,0,2,0,0,88
16,00:00:00:00:00:00:00:04,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:03,51646,1,1,2,0,2,0,2,88
17,00:00:00:00:00:00:00:04,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:06,22555,1,1,2,0,2,0,1,66
18,00:00:00:00:00:00:00:04,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:05,27386,1,1,2,0,2,0,1,78
19,00:00:00:00:00:00:00:04,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:02,23255,1,1,2,0,2,0,1,112
20,00:00:00:00:00:00:00:04,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:01,0,0,1,2,0,2,0,0,49
21,00:00:00:00:00:00:00:05,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:06,22555,1,1,2,0,2,0,1,203
22,00:00:00:00:00:00:00:05,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:03,51646,1,1,2,0,2,0,2,200
23,00:00:00:00:00:00:00:05,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:04,49400,1,1,2,0,2,0,0,78
24,00:00:00:00:00:00:00:05,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:02,23255,1,1,2,0,2,0,1,112
25,00:00:00:00:00:00:00:05,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:01,0,0,1,2,0,2,0,0,103
26,00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:03,51646,1,1,2,0,2,0,2,185
27,00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:05,27386,1,1,2,0,2,0,1,203
28,00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:04,49400,1,1,2,0,2,0,0,69
29,00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:02,23255,1,1,2,0,2,0,1,130
30,00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:00,00:00:00:00:00:00:00:01,0,0,1,2,0,2,0,0,112
